,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Price
0,4.1607,20.0,5.2997117,0.98559076,1882.0,2.7118156,34.28,-118.81,1.968
1,4.3047,27.0,4.2953453,1.046549,2661.0,4.271268,34.3,-118.45,1.521
2,5.8972,35.0,5.6635513,1.0996885,853.0,2.657321,33.83,-118.34,3.509
3,9.8321,17.0,7.7706094,1.0394266,654.0,2.344086,33.49,-117.73,5.00001
4,2.0474,37.0,4.9574466,1.0531915,1505.0,3.2021277,39.36,-121.7,0.56
5,2.6667,49.0,4.2,0.9285714,737.0,3.5095239,37.79,-122.2,1.22
6,3.5637,40.0,4.4143887,1.0877697,1190.0,1.7122302,34.15,-118.34,4.974
7,1.4702,41.0,4.5642858,1.1,839.0,2.9964285,38.54,-121.45,0.583
8,4.9485,11.0,5.9948916,1.0523627,2223.0,2.8390806,32.95,-117.11,2.318
9,0.9338,35.0,5.3018866,1.6415094,240.0,2.2641509,38.67,-121.39,1.125
10,4.267,35.0,5.5315986,0.9628253,1424.0,2.64684,37.68,-122.14,2.103
11,4.8333,34.0,4.64786,1.0136187,1560.0,3.0350194,34.21,-118.59,2.254
12,2.5321,37.0,4.3448277,1.030853,2499.0,4.5353904,33.89,-118.2,1.051
13,7.2574,52.0,8.288136,1.0734463,496.0,2.80226,37.85,-122.24,3.521
14,4.2404,28.0,6.1446543,1.018868,537.0,3.3773584,34.44,-119.84,2.743
15,2.2443,39.0,3.0448718,0.96153843,1366.0,4.3782053,34.35,-119.05,1.466
16,6.0074,16.0,6.8627048,1.1147541,2003.0,4.1045084,37.58,-122.08,2.365
17,2.6618,10.0,6.2040815,1.255102,1403.0,2.0451896,34.1,-116.32,0.81
18,3.2443,16.0,4.6135416,1.1708333,1538.0,1.6020833,38.57,-121.41,1.907
19,1.6063,20.0,4.889813,1.1559252,1217.0,2.5301456,34.13,-116.31,0.554
20,7.203,19.0,7.205056,1.0407304,1887.0,2.650281,37.83,-122.11,3.699
21,3.475,11.0,5.549223,1.0949913,1975.0,3.4110537,33.03,-116.9,1.672
22,5.1762,16.0,6.3713894,1.0467676,3038.0,4.1788173,34.01,-117.86,2.644
23,3.0,13.0,6.177285,1.2271469,920.0,2.5484765,37.49,-119.9,1.12
24,2.1382,21.0,3.7083333,1.0580357,1699.0,2.5282738,33.73,-118.29,2.423
25,4.2155,8.0,8.315392,1.3229462,3159.0,2.983003,32.65,-117.04,2.478
26,2.9052,52.0,3.654521,1.0283401,1460.0,1.9703104,37.75,-122.42,4.0
27,7.0879,16.0,6.969697,0.8855219,878.0,2.956229,33.76,-118.04,3.388
28,5.5496,29.0,6.330049,0.96059114,2205.0,3.6206896,34.09,-117.86,2.182
29,2.4459,17.0,3.8248792,1.0398551,2098.0,2.5338163,32.97,-117.1,0.858
30,3.5385,36.0,3.675,0.8375,266.0,3.325,34.12,-117.93,1.344
31,3.5,21.0,4.3049135,1.0751445,1824.0,2.635838,34.2,-118.58,2.237
32,2.2692,37.0,4.449013,1.1118422,1551.0,2.5509868,34.17,-118.12,2.25
33,2.7827,9.0,4.7644444,1.13,3156.0,3.5066667,34.1,-117.45,1.058
34,3.8018,18.0,3.8017242,1.1396551,874.0,1.5068965,32.8,-117.24,1.125
35,1.9464,16.0,4.4646463,0.962963,509.0,1.7138047,37.79,-121.18,1.125
36,2.1472,19.0,4.9276457,1.1544276,2256.0,2.436285,38.64,-121.38,1.434
37,5.8735,35.0,5.8116384,1.0566616,1521.0,2.3292496,34.11,-118.63,4.481
38,2.875,17.0,4.8212767,1.0382979,716.0,3.0468085,37.95,-121.83,1.625
39,7.6832,11.0,7.26776,0.96174866,1226.0,3.3497267,33.06,-117.26,3.198
40,2.1888,30.0,3.2970297,1.0367751,2172.0,3.0721357,34.21,-118.45,1.956
41,2.8295,52.0,4.94026,1.0545454,1233.0,3.2025974,34.03,-118.31,1.322
42,2.6403,31.0,3.781671,1.0458221,724.0,1.9514825,32.8,-117.23,2.161
43,2.875,17.0,4.4170403,1.0448431,811.0,3.6367712,32.56,-117.05,1.345
44,3.4306,18.0,4.8269963,1.1711026,964.0,1.8326997,32.79,-117.24,2.75
45,4.4196,37.0,6.6084657,1.068783,517.0,2.7354498,33.83,-118.11,2.231
46,1.0714,36.0,2.7995496,1.0585586,1668.0,3.7567568,34.05,-118.22,1.375
47,6.7449,44.0,7.6904764,1.1156462,763.0,2.5952382,34.45,-119.73,4.156
48,5.6889,33.0,7.1503134,1.0668058,1528.0,3.189979,32.66,-117.06,2.346
49,8.8281,25.0,7.5868373,1.0420475,1424.0,2.6032906,33.71,-118.05,4.616
50,3.0963,23.0,4.961039,1.050505,2942.0,2.1226552,38.51,-121.52,1.569
51,0.8024,48.0,5.136646,1.2298137,396.0,2.4596274,39.51,-121.55,0.583
52,4.3851,16.0,5.5313654,0.92250925,1292.0,4.7675276,37.67,-120.97,1.173
53,5.0384,35.0,6.2280703,1.0292398,574.0,3.3567252,33.89,-118.0,2.008
54,5.3955,47.0,5.5023365,0.9953271,961.0,2.245327,37.3,-121.89,2.823
55,1.4366,18.0,4.5588794,1.1400759,4002.0,1.9002849,33.75,-116.99,0.77
56,15.0001,34.0,8.114173,1.023622,825.0,3.2480314,34.19,-118.19,5.00001
57,3.5625,34.0,3.9481866,0.9430052,611.0,3.1658032,37.38,-121.84,2.018
58,3.9659,40.0,5.3244276,1.0877863,610.0,2.3282442,34.04,-118.48,5.00001
59,4.9234,25.0,5.8245616,0.9166667,691.0,3.0307016,34.21,-118.85,2.414
60,3.2516,16.0,5.0647774,1.0769231,1211.0,2.451417,32.86,-116.84,2.021
61,5.0766,40.0,5.6,1.0980393,708.0,2.7764707,38.01,-122.65,3.054
62,2.2234,19.0,2.752394,1.001368,3483.0,4.7647057,34.2,-118.39,1.813
63,3.2237,31.0,4.6579275,1.0649189,2313.0,2.8876405,33.92,-118.14,2.182
64,2.1731,45.0,3.8076923,1.0038462,901.0,3.4653847,37.75,-122.18,0.82
65,3.8625,41.0,4.658019,1.0377358,1528.0,3.6037736,37.72,-122.4,2.183
66,4.3839,26.0,4.7185187,1.1981481,1098.0,2.0333333,34.16,-118.46,2.991
67,4.5089,32.0,4.3716073,1.0250522,1413.0,2.9498956,34.12,-118.23,2.211
68,2.2437,9.0,4.114213,1.0862944,678.0,1.7208122,36.73,-119.73,0.542
69,4.0965,23.0,4.596985,1.4301507,1624.0,1.6321608,34.14,-118.32,5.00001
70,6.9903,14.0,6.476584,0.93939394,1128.0,3.107438,36.83,-119.83,1.412
71,5.7338,5.0,5.8040123,0.89506173,2335.0,3.603395,34.0,-117.68,2.254
72,2.9896,20.0,4.5181346,1.0310881,1532.0,2.6459413,32.78,-117.01,2.356
73,3.75,10.0,3.45,0.8,50.0,2.5,38.01,-121.29,1.208
74,1.9185,34.0,4.827869,1.0655738,1166.0,4.7786884,33.92,-118.27,0.933
75,1.1479,29.0,4.0235295,1.1035295,990.0,2.3294117,40.87,-124.08,1.011
76,2.0057,17.0,5.100806,1.0604838,1024.0,2.064516,37.97,-120.33,1.189
77,2.8235,34.0,4.0657597,1.0884354,1722.0,3.9047618,33.8,-117.86,1.531
78,2.4821,37.0,5.2507124,1.0427351,1207.0,3.4387465,33.88,-118.24,1.11
79,7.8601,16.0,7.92219,1.0504323,2051.0,2.9553313,37.15,-121.61,4.163
80,1.7885,40.0,5.916817,1.198915,1467.0,2.652803,41.78,-121.62,0.435
81,5.3819,52.0,4.5148516,1.0627062,617.0,2.0363035,34.06,-118.35,4.409
82,4.8661,24.0,6.3584557,1.0533088,1336.0,2.4558823,38.64,-121.28,1.862
83,3.3326,52.0,3.8916256,1.0492611,1462.0,3.6009853,34.12,-118.2,1.676
84,3.0574,25.0,3.7658644,1.1487966,1890.0,2.0678337,34.03,-118.39,3.194
85,2.0524,31.0,3.6020942,1.0680628,2461.0,4.294939,33.97,-118.14,1.608
86,4.555,39.0,4.900621,0.98447204,872.0,2.7080746,34.25,-117.55,1.531
87,2.4286,34.0,3.7728496,1.032258,2217.0,2.9798386,33.82,-118.2,2.048
88,5.0782,28.0,5.747984,1.0,1287.0,2.594758,33.94,-117.95,2.641
89,4.5556,35.0,5.2362385,1.1261468,1148.0,2.6330276,37.47,-122.24,3.186
90,3.07,15.0,5.3856244,0.97586566,4591.0,2.4087093,39.76,-121.89,1.426
91,4.0,36.0,6.0,1.5,27.0,3.375,37.33,-121.29,0.75
